,title,date,url,data_page_datail,cidade,local,tipo_evento
75,10ª Mostra da Gravura Cidade de Curitiba,16/10/1992,https://enciclopedia.itaucultural.org.br/evento225682/10-mostra-da-gravura-cidade-de-curitiba,16.10.1992 - 06.12.1992,Brasil / Paraná / Curitiba , Museu da Gravura Cidade de Curitiba,10ª Mostra da Gravura de Curitiba
76,Abertura Temporada 1992,1992,https://enciclopedia.itaucultural.org.br/evento529276/abertura-temporada-1992,1992 - 1992,Brasil / São Paulo / São Paulo , Subdistrito Comercial de Arte,Coletiva
77,"Hien, Leonilson, Ebinger",1992,https://enciclopedia.itaucultural.org.br/evento249419/hien-leonilson-ebinger,1992,Holanda / a definir / Amsterdã ," Pulitzer Art Gallery (Amsterdã, Holanda)",Coletiva
78,Abertura Temporada 1992,1992,https://enciclopedia.itaucultural.org.br/evento249418/abertura-temporada-1992,1992,Brasil / São Paulo / São Paulo , Gabinete de Arte Raquel Arnaud,Coletiva
79,10ª Exposição Brasil-Japão de Arte Contemporânea,1992,https://enciclopedia.itaucultural.org.br/evento86261/10-exposicao-brasil-japao-de-arte-contemporanea,1992,Brasil / São Paulo / São Paulo ," Fundação Brasil-Japão (São Paulo, SP)",Coletiva
80,Programa Anual de Exposições de Artes Plásticas,1992,https://enciclopedia.itaucultural.org.br/evento263258/programa-anual-de-exposicoes-de-artes-plasticas,1992 - 1992,Brasil / São Paulo / São Paulo , Centro Cultural São Paulo (CCSP),Programa de Exposições do Centro Cultural São Paulo 
81,Individual de Leonilson,18/03/1993,https://enciclopedia.itaucultural.org.br/evento249253/individual-de-leonilson,18.03.1993 - 22.04.1993,Brasil / São Paulo / São Paulo , Galeria de Arte São Paulo,Individual
82,Individual de Leonilson,23/03/1993,https://enciclopedia.itaucultural.org.br/evento249291/individual-de-leonilson,23.03.1993,Brasil / Rio de Janeiro / Rio de Janeiro , Thomas Cohn Arte Contemporânea,Individual
83,Arte Erótica ,15/07/1993,https://enciclopedia.itaucultural.org.br/evento238988/arte-erotica,15.07.1993,Brasil / Rio de Janeiro / Rio de Janeiro , Museu de Arte Moderna do Rio de Janeiro (MAM/RJ),Exposição
84,AIDS: consciência e arte ,09/08/1993,https://enciclopedia.itaucultural.org.br/evento249389/aids-consciencia-e-arte,09.08.1993 - 25.09.1993,Brasil / Paraná / Curitiba , Museu de Arte Contemporânea do Paraná (MAC/PR),Coletiva
85,Representação: presenças decisivas,09/11/1993,https://enciclopedia.itaucultural.org.br/evento220001/representacao-presencas-decisivas,09.11.1993 - 09.01.1994,Brasil / São Paulo / São Paulo , Paço das Artes,Coletiva
86,2ª A Caminho de Niterói: Coleção João Sattamini ,16/12/1993,https://enciclopedia.itaucultural.org.br/evento239003/2-a-caminho-de-niteroi-colecao-joao-sattamini,16.12.1993 - 06.02.1994,Brasil / Rio de Janeiro / Niterói , Museu de Arte Contemporânea de Niterói,Coletiva
87,Brasil: imagens dos anos 80 e 90 ,12/1993,https://enciclopedia.itaucultural.org.br/evento219985/brasil-imagens-dos-anos-80-e-90,12.1993 - 1994,Estados Unidos / Distrito de Columbia / Washington ," Art Museum of the Americas (Washington, DC, Estados Unidos)",Exposição
88,Cartographies ,1993,https://enciclopedia.itaucultural.org.br/evento221789/cartographies,1993,Canadá / Manitoba / Winnipeg ," Winnipeg Art Gallery (Winnipeg, Canadá)",Exposição
89,Cartographies ,1993,https://enciclopedia.itaucultural.org.br/evento355677/cartographies,1993,Canadá / Ontário / Ottawa,,Exposição
90,Cartographies ,1993,https://enciclopedia.itaucultural.org.br/evento355677/cartographies,1993,Canadá / Ontário / Ottawa,,Exposição
91,Cartographies ,1993,https://enciclopedia.itaucultural.org.br/evento556074/cartographies,1993,Colômbia / Distrito Capital de Santa Fe de Bogotá / Bogotá , Banco de La República. Biblioteca Luis Ángel Arango,Coletiva
92,Cartographies ,1993,https://enciclopedia.itaucultural.org.br/evento221789/cartographies,1993,Canadá / Manitoba / Winnipeg ," Winnipeg Art Gallery (Winnipeg, Canadá)",Exposição
93,Encontros e Tendências,1993,https://enciclopedia.itaucultural.org.br/evento88078/encontros-e-tendencias,1993,Brasil / São Paulo / São Paulo , Museu de Arte Contemporânea da Universidade de São Paulo (MAC/USP),Coletiva
94,Projeto Leonilson,18/01/1994,https://enciclopedia.itaucultural.org.br/evento249395/projeto-leonilson,18.01.1994 - 22.01.1994,Brasil / São Paulo / São Paulo , Galeria Luisa Strina,Coletiva
95,Bienal Brasil Século XX,24/04/1994,https://enciclopedia.itaucultural.org.br/evento88102/bienal-brasil-seculo-xx,24.04.1994 - 29.05.1994,Brasil / São Paulo / São Paulo , Fundação Bienal de São Paulo,Coletiva
96,Bastidores da Criação ,24/05/1994,https://enciclopedia.itaucultural.org.br/evento249390/bastidores-da-criacao,24.05.1994 - 25.06.1994,Brasil / São Paulo / São Paulo ," Associação Pró-Dança (São Paulo, SP)",Exposição
97,Brasil: imagens dos anos 80 e 90 ,05/1994,https://enciclopedia.itaucultural.org.br/evento219965/brasil-imagens-dos-anos-80-e-90,05.1994,Brasil / Rio de Janeiro / Rio de Janeiro , Museu de Arte Moderna do Rio de Janeiro (MAM/RJ),Exposição
98,Brasil: imagens dos anos 80 e 90,19/07/1994,https://enciclopedia.itaucultural.org.br/evento249596/brasil-imagens-dos-anos-80-e-90,19.07.1994 - 28.08.1994,Brasil / São Paulo / São Paulo , Casa das Rosas,Exposição
99,Cartographies,10/1994,https://enciclopedia.itaucultural.org.br/evento355681/cartographies,10.1994,Estados Unidos / Nova York / Nova York , The Bronx Museum of the Arts,Exposição
100,Paisagens,13/12/1994,https://enciclopedia.itaucultural.org.br/evento88101/paisagens,13.12.1994 - 08.01.1995,Brasil / São Paulo / São Paulo , Galeria de Arte São Paulo,Coletiva
101,Outros Territórios: travessia pela sexualidade,1994,https://enciclopedia.itaucultural.org.br/evento249396/outros-territorios-travessia-pela-sexualidade,1994,Brasil / São Paulo / São Paulo , Museu da Imagem e do Som (MIS),Coletiva
102,Leonilson: são tantas as verdades,21/01/1995,https://enciclopedia.itaucultural.org.br/evento249292/leonilson-sao-tantas-as-verdades,21.01.1995 - 03.03.1996,Brasil / São Paulo / São Paulo , Galeria de Arte do Sesi,Individual
103,A Infância Perversa: fábulas sobre a memória e o tempo,05/1995,https://enciclopedia.itaucultural.org.br/evento220136/a-infancia-perversa-fabulas-sobre-a-memoria-e-o-tempo,05.1995 - 06.1995,Brasil / Rio de Janeiro / Rio de Janeiro , Museu de Arte Moderna do Rio de Janeiro (MAM/RJ),Coletiva
104,A Infância Perversa: fábulas sobre a memória e o tempo ,06/1995,https://enciclopedia.itaucultural.org.br/evento220140/a-infancia-perversa-fabulas-sobre-a-memoria-e-o-tempo,06.1995 - 06.1995,Brasil / Bahia / Salvador , Museu de Arte Moderna da Bahia,Coletiva
105,Artistas Colecionistas,29/11/1995,https://enciclopedia.itaucultural.org.br/evento249263/artistas-colecionistas,29.11.1995 - 23.12.1995,Brasil / São Paulo / São Paulo , Valu Oria Galeria de Arte,Exposição
106,Cartographies,1995,https://enciclopedia.itaucultural.org.br/evento355682/cartographies,1995,Espanha / Madri / Madri ," Fundación ""la Caixa""",Exposição
107,Selections Brazil,1995,https://enciclopedia.itaucultural.org.br/evento249399/selections-brazil,1995,Estados Unidos / Nova York / Nova York , The Drawing Center,Coletiva
108,"Zé (1995 : Rio de Janeiro, RJ)",1995,https://enciclopedia.itaucultural.org.br/evento249400/ze-1995-rio-de-janeiro-rj,1995,Brasil / Rio de Janeiro / Rio de Janeiro , Paço Imperial ,Individual
109,Selections Brazil,1995,https://enciclopedia.itaucultural.org.br/evento249399/selections-brazil,1995,Estados Unidos / Nova York / Nova York , The Drawing Center,Coletiva
110,Anos 80: o palco da diversidade ,1995,https://enciclopedia.itaucultural.org.br/evento219964/anos-80-o-palco-da-diversidade,1995,Brasil / São Paulo / São Paulo , Galeria de Arte do Sesi,Coletiva
111,Projects 53: Oliver Herring and José Leonilson,18/01/1996,https://enciclopedia.itaucultural.org.br/evento249398/projects-53-oliver-herring-and-jose-leonilson,18.01.1996 - 12.03.1996,Estados Unidos / Nova York / Nova York , The Museum of Modern Art (MoMA),Exposição
112,Brasilianische Kunst der Gegenwart,26/09/1996,https://enciclopedia.itaucultural.org.br/evento237340/brasilianische-kunst-der-gegenwart,26.09.1996 - 27.10.1996,"Bayer AG - Foyer Hochhaus W1 (Leverkusen, Alemanha)",,"
            Classificação
            
Exposição

"
113,15 Artistas Brasileiros,01/10/1996,https://enciclopedia.itaucultural.org.br/evento237439/15-artistas-brasileiros,01.10.1996 - 08.12.1996,Brasil / São Paulo / São Paulo , Museu de Arte Moderna de São Paulo (MAM/SP),Coletiva
